location,pethouseholds
California,6865
Texas,5265
Florida,4138
New York,3802
Pennsylvania,2942
Ohio,2677
Illinois,2602
Michigan,2108
Georgia,2093
North Carolina,2089
Washington,1649
New Jersey,1611
Virginia,1611
Tennessee,1540
Missouri,1534
Arizona,1497
Indiana,1484
Wisconsin,1352
Massachusetts,1318
Colorado,1217
Minnesota,1146
Maryland,1134
Kentucky,1094
Alabama,1088
Oregon,957
South Carolina,951
Louisiana,937
Oklahoma,872
Connecticut,728
Arkansas,716
Kansas,691
Iowa,654
Mississippi,629
Nevada,548
New Mexico,523
Utah,476
West Virginia,475
Nebraska,364
Idaho,352
Maine,345
New Hampshire,289
Montana,251
Rhode Island,230
South Dakota,219
Delaware,189
Vermont,188
North Dakota,147
Wyoming,137
District of Columbia,63
